Price,Close,High,Low,Open,Volume
Ticker,LIN,LIN,LIN,LIN,LIN
Date,,,,,
2018-11-23,141.78933715820312,143.4415265721016,141.6350127628123,142.39756172307312,963600
2018-11-26,142.815185546875,143.63220048034484,142.41575109871224,142.56098865555046,2678200
2018-11-27,138.4849395751953,142.20691252198162,137.54990636732933,141.30819908347098,2525900
2018-11-28,141.88009643554688,142.05258070112845,137.71329656969448,139.37457270649693,1808800
2018-11-29,144.6216583251953,145.10279135856976,141.02677702481515,141.17201454007198,2901300
2018-11-30,144.38565063476562,145.80181698600364,142.47019131304387,142.542817004381,3944100
2018-12-03,149.19699096679688,149.26052978739835,145.1754282698011,147.33599750506025,3177200
2018-12-04,146.00149536132812,149.14247602804153,145.65652688216642,148.8338273108603,2746100
2018-12-06,141.59864807128906,144.3583679833092,138.89340779794773,143.91354097164074,4785400
2018-12-07,138.63925170898438,143.9044957934411,138.3124430733441,141.81655250195783,2518700
2018-12-10,142.4429473876953,143.0148521533265,139.90110379532763,141.6440786967398,2540400
2018-12-11,142.9421844482422,147.48118414192294,142.20685486224656,146.30104145118037,2552900
2018-12-12,145.74734497070312,147.19074416320262,144.75784594077078,146.7459170171907,2402600
2018-12-13,143.5140838623047,146.42812765637163,142.7969280311767,145.6110994295464,2456700
2018-12-14,142.46109008789062,143.85911026436193,141.66223526755417,142.86961129198562,2360800
2018-12-17,143.5790252685547,145.50460734078814,141.9910999538477,143.45126212312806,3148600
2018-12-18,143.83456420898438,145.00268847708432,142.94022211234466,144.5737663243292,2147000
2018-12-19,142.21014404296875,144.6467789639632,141.6443377548012,143.64291562191755,2618700
2018-12-20,140.58570861816406,142.7303053179842,139.11642544907576,140.97811902925,3398900
2018-12-21,139.72787475585938,143.71592340051996,139.65486524775875,142.37440328009302,5452000
2018-12-24,135.1831512451172,140.0016677510769,135.1831512451172,139.35371701981427,2086800
2018-12-26,139.3902130126953,139.41758983661785,133.19366526229575,135.74894225446653,2591500
2018-12-27,142.7394561767578,142.7394561767578,137.43726403760587,138.76052834937693,2867000
2018-12-28,142.64817810058594,144.70152341271805,141.48917484758798,143.36913825270133,1586100
2018-12-31,142.40174865722656,143.27784863581783,140.4853017120843,142.57514446003063,1853900
2019-01-02,143.4603729248047,144.3364729493298,140.1020196685896,140.1111406336387,1716400
2019-01-03,138.97950744628906,140.85947053851262,138.65097169402188,140.59480938869743,1775500
2019-01-04,142.94021606445312,143.8436790893642,139.9560169795654,140.3849391141725,1801300
2019-01-07,142.81243896484375,144.22695445662876,141.58954729351998,142.16448838059242,1830200
2019-01-08,144.32736206054688,144.70153056684566,141.63520085878838,142.44741248762682,2207300
2019-01-09,144.61024475097656,145.58671709672618,142.66640709873863,143.0314406265609,2099900
2019-01-10,147.70394897460938,147.8225772110625,144.5098569022217,144.8292577543787,2093900
