,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia
,NOMBRE_ESTADO,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,TOTAL_VOTOS,NOMBRE_ESTADO,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,TOTAL_VOTOS
CLAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200020032,OAXACA,ACATLAN DE PEREZ FIGUEROA,103.0,123.0,2.0,3.0,7.0,4.0,1.0,82.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,352.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,94.0,110.0,1.0,2.0,12.0,6.0,1.0,99.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,352
200020033,OAXACA,ACATLAN DE PEREZ FIGUEROA,286.0,391.0,21.0,5.0,14.0,6.0,6.0,273.0,7.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1075.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,234.0,294.0,7.0,5.0,23.0,3.0,2.0,408.0,12.0,8.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,0.0,0.0,2.0,1076
200020034,OAXACA,ACATLAN DE PEREZ FIGUEROA,248.0,182.0,19.0,18.0,14.0,22.0,13.0,321.0,8.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,903.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,248.0,132.0,12.0,10.0,31.0,10.0,7.0,384.0,6.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,903
200030035,OAXACA,ANIMAS TRUJANO,59.0,156.0,52.0,32.0,42.0,13.0,18.0,473.0,15.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,9.0,8.0,0.0,1.0,924.0,OAXACA,ANIMAS TRUJANO,60.0,115.0,24.0,6.0,40.0,6.0,2.0,558.0,19.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,27.0,6.0,0.0,2.0,922
200030036,OAXACA,ANIMAS TRUJANO,67.0,149.0,70.0,42.0,65.0,30.0,17.0,588.0,17.0,6.0,0.0,0.0,3.0,4.0,7.0,1.0,0.0,20.0,8.0,1.0,4.0,1135.0,OAXACA,ANIMAS TRUJANO,67.0,103.0,27.0,10.0,74.0,3.0,5.0,678.0,24.0,6.0,0.0,0.0,2.0,6.0,5.0,2.0,0.0,40.0,12.0,1.0,9.0,1145
200040039,OAXACA,ASUNCION CACALOTEPEC,30.0,58.0,10.0,5.0,56.0,11.0,2.0,237.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,6.0,0.0,0.0,440.0,OAXACA,ASUNCION CACALOTEPEC,21.0,53.0,6.0,2.0,64.0,5.0,2.0,254.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,2.0,439
200040040,OAXACA,ASUNCION CACALOTEPEC,33.0,21.0,5.0,5.0,44.0,3.0,2.0,95.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,1.0,0.0,250.0,OAXACA,ASUNCION CACALOTEPEC,29.0,21.0,3.0,3.0,53.0,4.0,1.0,98.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,248
200040041,OAXACA,ASUNCION CACALOTEPEC,13.0,25.0,10.0,6.0,112.0,7.0,4.0,107.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,11.0,1.0,0.0,344.0,OAXACA,ASUNCION CACALOTEPEC,15.0,24.0,11.0,2.0,102.0,6.0,5.0,122.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,14.0,0.0,1.0,344
200050042,OAXACA,ASUNCION CUYOTEPEJI,286.0,271.0,6.0,7.0,9.0,5.0,1.0,109.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,721.0,OAXACA,ASUNCION CUYOTEPEJI,270.0,234.0,7.0,2.0,13.0,2.0,0.0,156.0,5.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,721
200060043,OAXACA,ASUNCION IXTALTEPEC,5.0,102.0,14.0,181.0,10.0,4.0,2.0,265.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,619.0,OAXACA,ASUNCION IXTALTEPEC,11.0,44.0,4.0,110.0,25.0,0.0,1.0,349.0,8.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,4.0,589
