h0303,h0305,h0306,h0307,h0308,h0312,h0317a,h0317g,h0318,h0327,h0324,h0317aint,h0317gint,h0317
27,3,1,1,1,1,10,5,1,3,Empleado,18,5.0,23.0
18,3,1,1,1,1,4,2,1,3,Estudiante,15,2.0,17.0
2,4,1,1,1,1,1, ,1,3,Estudiante,3,,0.0
70,1,1,2,2,1,2,3,2,2,Trabajador por su cuenta,6,3.0,9.0
32,3,1,1,3,1,3,3,1,2,Quehaceres del hogar,12,3.0,15.0
45,3,1,1,3,1,0, ,2,2,Incapacitado,0,,0.0
29,5,1,2,2,1,10,4,1,2,Empleado,18,4.0,22.0
13,4,1,1,2,1,3,1,1,2,Estudiante,12,1.0,13.0
10,4,1,1,2,1,2,3,1,2,Quehaceres del hogar,6,3.0,9.0
44,1,1,2,3,1,4,3,1,2,Empleado,15,3.0,18.0
12,3,1,1,2,1,2,6,1,2,Estudiante,6,6.0,12.0
60,1,1,3,3,1,8,3,1,4,Jubilado o pensionado,18,3.0,21.0
58,2,1,3,3,1,4,3,1,4,Empleado,15,3.0,18.0
16,3,1,1,1,1,4,1,1,4,Estudiante,15,1.0,16.0
24,1,1,3,3,1,10,1,1,3,Trabajador por su cuenta,18,1.0,19.0
32,8,1,3,3,1,10,4,1,3,Trabajador por su cuenta,18,4.0,22.0
8,8,2,1,2,1,2,1,1,3,Estudiante,6,1.0,7.0
63,1,1,3,3,1,2,2,1,1,Empleado,6,2.0,8.0
61,2,1,2,2,1,0, ,1,1,Quehaceres del hogar,0,,0.0
29,3,1,1,1,1,3,2,1,1,Empleado,12,2.0,14.0
25,1,1,2,2,1,3,3,1,2,Empleado,12,3.0,15.0
49,2,2,2,2,1,3,3,1,2,Empleado,12,3.0,15.0
25,1,1,2,2,1,3,3,1,2,Empleado,12,3.0,15.0
49,2,2,2,2,1,3,3,1,2,Empleado,12,3.0,15.0
62,1,1,2,2,1,2,6,1,3,Empleado,6,6.0,12.0
60,2,1,2,2,1,2,6,1,3,Quehaceres del hogar,6,6.0,12.0
48,8,1,3,3,1,0, ,2,3,Quehaceres del hogar,0,,0.0
42,3,1,1,1,1,2,6,1,3,Empleado,6,6.0,12.0
40,5,1,2,2,1,2,6,1,3,Quehaceres del hogar,6,6.0,12.0
18,4,1,1,1,1,4,3,1,3,Estudiante,15,3.0,18.0
70,1,2,2,2,1,2,1,1,1,Trabajador por su cuenta,6,1.0,7.0
49,3,2,3,1,1,3,3,1,1,Trabajador por su cuenta,12,3.0,15.0
46,3,2,3,1,1,2,3,1,1,Trabajador por su cuenta,6,3.0,9.0
13,4,1,1,1,1,1,1,2,1,Estudiante,3,1.0,4.0
7,4,1,1,1,1,2,2,1,1,Estudiante,6,2.0,8.0
36,5,2,2,2,1,4,3,1,1,Quehaceres del hogar,15,3.0,18.0
70,1,2,2,2,1,2,1,1,1,Trabajador por su cuenta,6,1.0,7.0
49,3,2,3,1,1,3,3,1,1,Trabajador por su cuenta,12,3.0,15.0
46,3,2,3,1,1,2,3,1,1,Trabajador por su cuenta,6,3.0,9.0
13,4,1,1,1,1,1,1,2,1,Estudiante,3,1.0,4.0
7,4,1,1,1,1,2,2,1,1,Estudiante,6,2.0,8.0
36,5,2,2,2,1,4,3,1,1,Quehaceres del hogar,15,3.0,18.0
68,1,1,2,3,1,3,3,1,3,Quehaceres del hogar,12,3.0,15.0
67,2,1,3,3,1,3,3,1,3,Jubilado o pensionado,12,3.0,15.0
37,3,1,1,1,1,0, ,2,3,Quehaceres del hogar,0,,0.0
40,1,1,2,2,1,3,2,1,3,Trabajador por su cuenta,12,2.0,14.0
18,3,1,2,1,1,10,1,1,3,Estudiante,18,1.0,19.0
16,3,1,2,1,1,4,2,1,3,Estudiante,15,2.0,17.0
15,3,1,2,2,1,3,3,1,3,Estudiante,12,3.0,15.0
59,1,2,2,3,1,4,3,1,3,Empleado,15,3.0,18.0
30,3,1,3,1,1,10,4,1,3,Empleado,18,4.0,22.0
27,3,1,3,1,1,4,3,1,3,Trabajador por su cuenta,15,3.0,18.0
25,3,1,3,1,1,10,1,1,3,Empleado,18,1.0,19.0
73,1,2,3,3,1,3,3,1,3,Quehaceres del hogar,12,3.0,15.0
46,3,2,2,2,1,10,4,1,3,Empleado,18,4.0,22.0
43,3,2,2,3,1,10,5,1,3,Trabajador por su cuenta,18,5.0,23.0
21,4,2,2,2,1,10,3,1,3,Estudiante,18,3.0,21.0
48,9,2,2,2,1,4,3,1,3,Trabajador por su cuenta,15,3.0,18.0
73,1,2,3,3,1,3,3,1,3,Quehaceres del hogar,12,3.0,15.0
46,3,2,2,2,1,10,4,1,3,Empleado,18,4.0,22.0
43,3,2,2,3,1,10,5,1,3,Trabajador por su cuenta,18,5.0,23.0
21,4,2,2,2,1,10,3,1,3,Estudiante,18,3.0,21.0
48,9,2,2,2,1,4,3,1,3,Trabajador por su cuenta,15,3.0,18.0
28,1,1,2,2,1,2,2,2,1,Quehaceres del hogar,6,2.0,8.0
30,2,1,2,2,1,4,3,1,1,Jornalero o peón,15,3.0,18.0
10,3,1,1,1,1,2,4,1,1,Estudiante,6,4.0,10.0
6,3,1,1,1,1,2,1,2,1,Incapacitado,6,1.0,7.0
64,1,2,3,3,1,2,6,1,1,Trabajador por su cuenta,6,6.0,12.0
58,1,2,3,3,1,0, ,2,1,Jornalero o peón,0,,0.0
13,4,1,3,2,1,3,2,1,1,Estudiante,12,2.0,14.0
20,1,2,2,9,1,3,2,1,1,Quehaceres del hogar,12,2.0,14.0
25,2,1,2,9,1,4,3,1,1,Jornalero o peón,15,3.0,18.0
4,3,1,1,1,1,1,1,1,1,Quehaceres del hogar,3,1.0,4.0
60,1,1,3,3,1,2,1,1,1,Quehaceres del hogar,6,1.0,7.0
21,1,1,2,2,1,4,1,1,2,Quehaceres del hogar,15,1.0,16.0
25,2,1,2,2,1,4,1,1,2,Obrero,15,1.0,16.0
3,3,1,1,1,1,0, ,1,2,Estudiante,0,,0.0
1,3,1,1,1,1,0, ,1,2,Estudiante,0,,0.0
69,1,2,3,3,1,3,3,1,1,Quehaceres del hogar,12,3.0,15.0
30,4,2,3,2,1,3,3,1,1,Otra situación,12,3.0,15.0
69,1,2,3,3,1,3,3,1,1,Quehaceres del hogar,12,3.0,15.0
30,4,2,3,2,1,3,3,1,1,Otra situación,12,3.0,15.0
56,1,2,2,3,1,2,6,1,1,Empleado,6,6.0,12.0
57,2,1,3,3,1,2,4,1,1,Quehaceres del hogar,6,4.0,10.0
75,1,1,3,3,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
78,2,1,3,3,1,2,6,1,2,Trabajador por su cuenta,6,6.0,12.0
29,3,1,1,2,1,2,6,1,2,Trabajador por su cuenta,6,6.0,12.0
30,5,1,2,2,1,3,3,1,2,Empleado,12,3.0,15.0
6,4,1,1,1,1,1,3,2,2,Estudiante,3,3.0,6.0
75,1,1,3,3,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
78,2,1,3,3,1,2,6,1,2,Trabajador por su cuenta,6,6.0,12.0
29,3,1,1,2,1,2,6,1,2,Trabajador por su cuenta,6,6.0,12.0
30,5,1,2,2,1,3,3,1,2,Empleado,12,3.0,15.0
6,4,1,1,1,1,1,3,2,2,Estudiante,3,3.0,6.0
83,1,1,3,3,1,0, ,2,1,Otra situación,0,,0.0
47,3,1,3,1,1,4,3,1,1,Quehaceres del hogar,15,3.0,18.0
47,5,1,3,3,1,2,3,1,1,Empleado,6,3.0,9.0
12,4,1,1,1,1,2,6,1,1,Estudiante,6,6.0,12.0
33,1,2,2,2,1,10,5,1,2,Trabajador por su cuenta,18,5.0,23.0
32,2,1,2,2,1,4,3,1,2,Empleado,15,3.0,18.0
11,3,1,1,1,1,2,5,1,2,Estudiante,6,5.0,11.0
9,3,1,1,1,1,2,3,1,2,Estudiante,6,3.0,9.0
53,1,1,2,3,1,4,2,1,2,Empleado,15,2.0,17.0
22,3,1,1,2,1,4,3,1,2,Empleado,15,3.0,18.0
53,1,1,2,3,1,4,2,1,2,Empleado,15,2.0,17.0
22,3,1,1,2,1,4,3,1,2,Empleado,15,3.0,18.0
51,1,2,2,3,1,2,6,1,3,Quehaceres del hogar,6,6.0,12.0
30,3,1,1,2,1,3,3,1,3,Empleado,12,3.0,15.0
14,4,1,1,2,1,3,2,1,3,Otra situación,12,2.0,14.0
14,4,1,1,2,1,3,2,1,3,Estudiante,12,2.0,14.0
10,4,1,1,2,1,2,4,1,3,Estudiante,6,4.0,10.0
51,1,2,2,3,1,2,6,1,3,Quehaceres del hogar,6,6.0,12.0
30,3,1,1,2,1,3,3,1,3,Empleado,12,3.0,15.0
14,4,1,1,2,1,3,2,1,3,Otra situación,12,2.0,14.0
14,4,1,1,2,1,3,2,1,3,Estudiante,12,2.0,14.0
10,4,1,1,2,1,2,4,1,3,Estudiante,6,4.0,10.0
40,1,2,2,2,1,10,5,1,4,Empleado,18,5.0,23.0
36,2,1,2,2,1,10,5,1,4,Quehaceres del hogar,18,5.0,23.0
6,3,1,1,1,1,1,3,2,4,Incapacitado,3,3.0,6.0
